Seq,Item,Gender,Age,Round,Heat,Time,Wind
128,1500m,Men,25,F,0,11:30,
Lane,Surname,Firstname,Number,Team
1,MTHEMBU,SAMKELO,375,ORC
2,MYAMBO,ADELSON,85,DUT
3,MATWEBU,NGCONDE,380,PHA
4,SHABALALA,BONGINKOSI,408,SIS
5,NDLOVU,SIFISO,361,NCS
6,MASEKO,SAMUEL ELIJA,70,DUN
7,SHEZI,SPHAMANDLA,200,HAR
8,NYEMBE,LINDOKUHLE,72,DUN
9,NCAYIYANA,AZANDE,332,MTU
10,MASANABO,FRANS,379,PHA
11,BUTHELEZI,SABATHA,411,SIY
12,THABEDE,AYANDA,73,DUN
13,HADEBE,MAKADUNYISWE,348,NCS
14,MOSHOALIBA,LUCAS,381,PHA
15,NJOKO,PHILANI,205,ITH
16,MGOBHOZI,KWAZI,404,SIS
17,DLAMINI,OWAMI,412,SIY
18,THWALA,NKULULEKO,367,NCS
19,NCUBE,SIBUSISO,358,NCS
20,CHILI,ASANDA,347,NCS
21,PILANE,TSHEGOFATSO,385,PHA
22,SIBIYA,OLWETHU,413,SIY
24,MNGUNI,NHLANHLA,330,MTU
25,NKOSI,SANELE,362,NCS
26,ZUNGU,MSAWENKOSI,250,MAX
27,VERMAAK,JULIAN,18,CKS
28,MOKOENA,NGCEBO,419,SUN
29,PHAKU,THUBALETHU,87,DUT
